                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8073,                 2.2277,                 1.8581,                0.26496,                0.65185,                0.32212,                0.14341,                 1.7246,                 4.1539,                 2.3558,              0.0019648,              0.0019648,              0.0019648
                     35,                 1.7485,                 2.1937,                 1.8426,                 0.3193,                    0.6,                0.42277,                0.14386,                 2.1554,                 3.2344,                 2.5782,              0.0019637,              0.0019637,              0.0019637
                     36,                 1.8602,                 2.3664,                 1.9169,                0.53774,                    0.8,                0.58786,                0.18291,                 1.7669,                 2.8405,                 2.2055,              0.0019626,              0.0019626,              0.0019626
                     37,                 1.9835,                 2.3363,                  1.981,                0.32712,                    0.6,                0.38782,                0.15652,                 1.7351,                 2.6692,                 2.2658,              0.0019615,              0.0019615,              0.0019615
                     38,                 1.7829,                 2.1737,                 1.8134,                  0.365,                    0.6,                0.43374,                 0.1854,                 2.0198,                 2.2503,                 2.3898,              0.0019604,              0.0019604,              0.0019604
                     39,                  1.926,                  2.159,                 1.9688,                      1,                0.50236,                  0.645,                0.19335,                 2.1747,                 2.1527,                 2.4407,              0.0019593,              0.0019593,              0.0019593
                     40,                 1.7898,                 2.0587,                 1.7989,                0.46907,                    0.4,                0.39833,                0.07007,                 2.2504,                 2.5788,                 2.4706,              0.0019582,              0.0019582,              0.0019582
                     41,                 1.8982,                 2.2064,                 1.9634,                 0.3077,                    0.6,                0.28539,                 0.0697,                 2.1787,                 2.3078,                 2.3182,              0.0019571,              0.0019571,              0.0019571
                     42,                 1.7985,                 2.0563,                 1.8758,                0.40097,                    0.6,                0.29432,                  0.097,                 2.0419,                 2.7508,                 2.3839,               0.001956,               0.001956,               0.001956
                     43,                 1.7631,                 2.1682,                 1.8881,                0.65105,                0.38126,                0.45797,                0.07275,                 2.0434,                  2.722,                  2.421,              0.0019549,              0.0019549,              0.0019549
                     44,                 1.7625,                 2.1136,                  1.907,                0.37826,                    0.4,                0.30971,                0.08909,                   2.04,                 2.8564,                 2.3676,              0.0019538,              0.0019538,              0.0019538
                     45,                 1.7428,                 2.0689,                 1.9162,                0.59735,                    0.4,                0.41032,                0.09289,                 2.1352,                 2.6078,                 2.3847,              0.0019527,              0.0019527,              0.0019527
                     46,                 1.8487,                  2.279,                 1.9539,                0.60841,                    0.6,                 0.6189,                0.16215,                 2.3163,                 2.3719,                 2.4773,              0.0019516,              0.0019516,              0.0019516
